uc_id,department,enterprise_ai_type,enterprise_ai_label,technical_ai_type,title,purpose,audience,governance_level,data_primary,story,folder_path,status
UC-06-01,Fraud Management,analytic,Analytic AI,ML,Fraud Risk Scoring,Predicts probability of fraud per transaction,"Analytics, Risk, Ops",medium,Historical transactions,"This transaction has an 87% fraud probability because of these 5 signals.",B_Risk_Fraud_and_Financial_Crime/06_Fraud_Management/data/UC-06-01,downloaded
UC-06-02,Fraud Management,analytic,Analytic AI,DL,Sequential Fraud Detection,Detects fraud patterns across transaction sequences using LSTM/Transformers,"Analytics, Risk",medium,Historical transactions,Model detected a sequence of 4 transactions matching known fraud typology.,B_Risk_Fraud_and_Financial_Crime/06_Fraud_Management/data/UC-06-02,downloaded
UC-06-03,Fraud Management,analytic,Analytic AI,NLP,Fraud Complaints Text Analysis,Mines fraud case notes and complaint text for patterns,"Analytics, Risk, Ops",medium,Live context + knowledge,These 12 complaints share language patterns indicating organized fraud ring.,B_Risk_Fraud_and_Financial_Crime/06_Fraud_Management/data/UC-06-03,downloaded
UC-06-04,Fraud Management,analytic,Analytic AI,NLP,Fraud Case Notes Analysis (RBA),Analyzes risk-based authentication events and investigator notes,"Analytics, Risk",medium,Historical transactions,Login from new device in unusual location flagged with 92% anomaly score.,B_Risk_Fraud_and_Financial_Crime/06_Fraud_Management/data/UC-06-04,downloaded
UC-06-05,Fraud Management,transactional,Transactional / Assistive AI,RAG,Fraud Investigation Copilot,Assists investigators with policy + past case retrieval in real time,"Frontline, Supervisors",highest,Live context + knowledge,"Here is the relevant policy section and 3 similar past cases with outcomes.",B_Risk_Fraud_and_Financial_Crime/06_Fraud_Management/data/UC-06-05,missing
UC-07-01,Credit Risk & Lending,analytic,Analytic AI,ML,Credit Scoring (PD/LGD/EAD),Predicts default likelihood using probability of default models,"Analytics, Risk",medium,Historical transactions,This applicant has a 4.2% PD driven by DTI ratio and employment length.,B_Risk_Fraud_and_Financial_Crime/07_Credit_Risk_Management/data/UC-07-01,downloaded
UC-07-02,Credit Risk & Lending,analytic,Analytic AI,ML,Lending Club Credit Scoring,Scores loan applications for approval/rejection,"Analytics, Risk",medium,Historical transactions,Loan application scored at B2 grade based on 47 features.,B_Risk_Fraud_and_Financial_Crime/07_Credit_Risk_Management/data/UC-07-02,downloaded
UC-07-03,Credit Risk & Lending,analytic,Analytic AI,DL,Alternative Data Credit Models,Deep learning credit models using alternative data sources,"Analytics, Risk",medium,Historical transactions,Non-traditional signals improved default prediction by 12% for thin-file customers.,B_Risk_Fraud_and_Financial_Crime/07_Credit_Risk_Management/data/UC-07-03,downloaded
UC-07-04,Credit Risk & Lending,analytic,Analytic AI,NLP,Financial Statement Parsing,Extracts financial metrics from unstructured documents,"Analytics, Risk",medium,Live context + knowledge,Extracted 23 financial ratios from annual report for automated spreading.,B_Risk_Fraud_and_Financial_Crime/07_Credit_Risk_Management/data/UC-07-04,missing
UC-07-05,Credit Risk & Lending,transactional,Transactional / Assistive AI,RAG,Underwriter Assist Copilot,Explains decision rationale grounded in credit policy,"Frontline, Supervisors",highest,Live context + knowledge,"Recommended approval with these conditions, citing Policy Section 4.3.2.",B_Risk_Fraud_and_Financial_Crime/07_Credit_Risk_Management/data/UC-07-05,missing
UC-08-01,AML / Financial Crime,analytic,Analytic AI,ML,AML Alert Prioritization,Ranks AML alerts by risk to focus investigator effort,"Analytics, Risk, Ops",medium,Historical transactions,Alert ranked #3 of 847 today because of network and velocity signals.,B_Risk_Fraud_and_Financial_Crime/08_AML_Financial_Crime/data/UC-08-01,downloaded
UC-08-02,AML / Financial Crime,analytic,Analytic AI,DL,Network/Graph Laundering Detection,Detects money laundering through transaction graph analysis,"Analytics, Risk",medium,Historical transactions,Graph analysis identified 3-hop cycle involving 7 accounts across 4 banks.,B_Risk_Fraud_and_Financial_Crime/08_AML_Financial_Crime/data/UC-08-02,downloaded
UC-08-03,AML / Financial Crime,transactional,Transactional / Assistive AI,NLP,SAR Narrative Drafting Assistant,Assists investigators in drafting Suspicious Activity Reports,"Frontline, Ops",highest,Live context + knowledge,"Draft SAR narrative generated with cited evidence, ready for review.",B_Risk_Fraud_and_Financial_Crime/08_AML_Financial_Crime/data/UC-08-03,downloaded
UC-08-04,AML / Financial Crime,transactional,Transactional / Assistive AI,RAG,AML Investigator Copilot,Assists AML investigators with regulations and case lookup,"Frontline, Supervisors",highest,Live context + knowledge,Relevant FATF typology and 2 matching historical cases retrieved.,B_Risk_Fraud_and_Financial_Crime/08_AML_Financial_Crime/data/UC-08-04,downloaded
UC-09-01,Collections & Recovery,analytic,Analytic AI,ML,Delinquency Prediction,Predicts which accounts will become delinquent,"Analytics, Risk, Ops",medium,Historical transactions,Account has 34% probability of 60+ DPD in next 90 days.,B_Risk_Fraud_and_Financial_Crime/09_Collections_and_Recovery/data/UC-09-01,downloaded
UC-09-02,Collections & Recovery,analytic,Analytic AI,DL,Time-Series Default Progression,Models default progression over time for portfolio management,"Analytics, Risk",medium,Historical transactions,Portfolio segment showing accelerating deterioration curve.,B_Risk_Fraud_and_Financial_Crime/09_Collections_and_Recovery/data/UC-09-02,downloaded
UC-09-03,Collections & Recovery,analytic,Analytic AI,NLP,Customer Communication Analysis,Analyzes debt collection communications for compliance and effectiveness,"Analytics, Ops",medium,Live context + knowledge,Communication sentiment trending negative; recommend supervisor review.,B_Risk_Fraud_and_Financial_Crime/09_Collections_and_Recovery/data/UC-09-03,downloaded
UC-09-04,Collections & Recovery,transactional,Transactional / Assistive AI,RAG,Collections Agent Assist,Provides compliance scripts and next-best-action to collection agents,"Frontline, Ops",highest,Live context + knowledge,"Recommended approach: restructure offer, citing compliance script 7.2.",B_Risk_Fraud_and_Financial_Crime/09_Collections_and_Recovery/data/UC-09-04,missing
UC-10-01,Model Risk Management,governance,Governance & Control AI,ML,Model Validation & Monitoring,Monitors model performance and validates model risk,"Risk, Audit, Compliance",mandatory,All AI outputs + metadata,Model drift detected: PSI exceeded threshold by 15% in segment C.,B_Risk_Fraud_and_Financial_Crime/10_Model_Risk_Management/data,missing
UC-11-01,Branch Operations,operational,Operational AI,ML,Branch Demand Forecasting,Forecasts customer demand by branch for staffing optimization,"COO, Ops Managers",medium,Operational metrics,"Tomorrow branch X expects 340 customers, 23% above average.",C_Operations_and_Cost_Optimization/11_Branch_Operations/data/UC-11-01,downloaded
UC-11-02,Branch Operations,operational,Operational AI,DL,Footfall Prediction,Deep learning time-series footfall prediction for resource planning,"COO, Ops Managers",medium,Operational metrics,Tuesday 2-4 PM predicted peak; recommend 2 additional tellers.,C_Operations_and_Cost_Optimization/11_Branch_Operations/data/UC-11-02,downloaded
UC-11-03,Branch Operations,analytic,Analytic AI,ML,Bank Transaction Analysis,Analyzes transaction patterns for branch performance insights,"Analytics, Ops",medium,Historical transactions,Branch shows 18% increase in digital migration; counter volume declining.,C_Operations_and_Cost_Optimization/11_Branch_Operations/data/UC-11-03,downloaded
UC-11-04,Branch Operations,operational,Operational AI,CV,Queue Monitoring / People Counting,Computer vision for real-time queue management,"COO, Ops Managers",medium,System telemetry,Queue length exceeds 8; alert sent to open additional counter.,C_Operations_and_Cost_Optimization/11_Branch_Operations/data/UC-11-04,missing
UC-11-05,Branch Operations,transactional,Transactional / Assistive AI,RAG,Branch Staff Operational Assistant,Assists branch staff with SOPs and procedures,"Frontline, Ops",highest,Live context + knowledge,"For this transaction type, follow procedure in SOP 12.4.1.",C_Operations_and_Cost_Optimization/11_Branch_Operations/data/UC-11-05,missing
UC-12-01,Contact Center,analytic,Analytic AI,ML,Intent Classification & Churn Prediction,Classifies customer intent and predicts churn risk,"Analytics, Ops",medium,Historical transactions,Customer classified as high churn risk; recommend retention offer.,C_Operations_and_Cost_Optimization/12_Contact_Center_Operations/data/UC-12-01,downloaded
UC-12-02,Contact Center,analytic,Analytic AI,NLP,Customer Sentiment Analysis,Analyzes sentiment and intent from customer interactions,"Analytics, Ops",medium,Live context + knowledge,Negative sentiment detected in 3 consecutive interactions; escalate.,C_Operations_and_Cost_Optimization/12_Contact_Center_Operations/data/UC-12-02,downloaded
UC-12-03,Contact Center,analytic,Analytic AI,DL,Speech-to-Text Voice Analytics,Converts speech to text for analysis and compliance,"Analytics, Ops",medium,Live context + knowledge,Call transcript generated with 97% accuracy; compliance keywords flagged.,C_Operations_and_Cost_Optimization/12_Contact_Center_Operations/data/UC-12-03,downloaded
UC-12-04,Contact Center,transactional,Transactional / Assistive AI,RAG,Agent Assist (Knowledge Base),Real-time copilot for contact center agents,"Frontline, Ops",highest,Live context + knowledge,"Suggested response based on KB article 2341, with product details.",C_Operations_and_Cost_Optimization/12_Contact_Center_Operations/data/UC-12-04,missing
UC-13-01,ATM & Cash Operations,operational,Operational AI,ML,Cash Demand Forecasting,Forecasts ATM cash requirements to reduce idle cash,"COO, Ops Managers",medium,Operational metrics,"ATM-4521 needs replenishment by Thursday; recommended load: $85K.",C_Operations_and_Cost_Optimization/13_ATM_and_Cash_Operations/data/UC-13-01,downloaded
UC-13-02,ATM & Cash Operations,operational,Operational AI,DL,Time-Series Cash Optimization,Deep learning load forecasting for cash logistics,"COO, Ops Managers",medium,Operational metrics,Optimized cash distribution reduced idle cash by 22% across network.,C_Operations_and_Cost_Optimization/13_ATM_and_Cash_Operations/data/UC-13-02,downloaded
UC-13-03,ATM & Cash Operations,operational,Operational AI,CV,ATM Camera-Based Security,Computer vision surveillance for ATM security,"COO, IT Ops",medium,System telemetry,Skimming device detected on ATM-3392; alert dispatched.,C_Operations_and_Cost_Optimization/13_ATM_and_Cash_Operations/data/UC-13-03,missing
UC-13-04,ATM & Cash Operations,transactional,Transactional / Assistive AI,RAG,ATM Ops Troubleshooting Assistant,Assists field technicians with ATM repair procedures,"Frontline, Ops",highest,Live context + knowledge,"Error code E-4401 indicates jammed cassette; follow repair guide 8.2.",C_Operations_and_Cost_Optimization/13_ATM_and_Cash_Operations/data/UC-13-04,missing
UC-14-01,Workforce Management,operational,Operational AI,ML,Attrition Prediction,Predicts employee attrition risk for retention planning,"COO, HR",medium,Operational metrics,Department X has 3 high-risk employees; recommend engagement review.,C_Operations_and_Cost_Optimization/14_Workforce_Management/data/UC-14-01,downloaded
UC-14-02,Workforce Management,operational,Operational AI,DL,Workforce Demand Forecasting,Forecasts workforce demand for capacity planning,"COO, HR",medium,Operational metrics,Q3 requires 12 additional FTEs in digital banking based on volume trend.,C_Operations_and_Cost_Optimization/14_Workforce_Management/data/UC-14-02,missing
UC-14-03,Workforce Management,analytic,Analytic AI,NLP,Resume Screening,NLP-based candidate screening and matching,"HR, Ops",medium,Live context + knowledge,Top 5 candidates ranked by role fit; skills gap analysis attached.,C_Operations_and_Cost_Optimization/14_Workforce_Management/data/UC-14-03,downloaded
UC-14-04,Workforce Management,transactional,Transactional / Assistive AI,RAG,HR Policy Assistant,Answers HR policy questions for managers and employees,"Frontline, HR",highest,Live context + knowledge,"Parental leave policy allows 16 weeks; see HR Policy Section 5.3.",C_Operations_and_Cost_Optimization/14_Workforce_Management/data/UC-14-04,missing
UC-15-01,Dispute & Chargeback,decision,Decision Intelligence AI,ML,Dispute Classification & Resolution,Classifies disputes and recommends resolution path,"CRO, Ops",high,Analytic outputs + policies,"Dispute classified as merchant error; recommended: auto-credit, citing Rule 11.3.",C_Operations_and_Cost_Optimization/15_Dispute_and_Chargeback_Operations/data/UC-15-01,downloaded
UC-16-01,Data Governance,governance,Governance & Control AI,ML,Data Quality Anomaly Detection,Detects data quality issues across enterprise data,"Risk, Audit, Compliance",mandatory,All AI outputs + metadata,Column customer_income has 14% null rate spike; investigate source system.,D_Data_Governance_and_Platform/16_Data_Governance_and_Quality/data/UC-16-01,downloaded
UC-16-02,Data Governance,governance,Governance & Control AI,DL,Drift & Bias Detection,Monitors model drift and bias across production models,"Risk, Audit, Compliance",mandatory,All AI outputs + metadata,Credit model shows 8% PSI drift in age segment; retraining recommended.,D_Data_Governance_and_Platform/16_Data_Governance_and_Quality/data/UC-16-02,missing
UC-16-03,Data Governance,governance,Governance & Control AI,ML,Data Fairness Analysis (German Credit),Analyzes fairness and bias in credit data and models,"Risk, Audit, Compliance",mandatory,All AI outputs + metadata,Disparate impact ratio for age group below 0.8 threshold; review required.,D_Data_Governance_and_Platform/16_Data_Governance_and_Quality/data/UC-16-03,downloaded
UC-16-04,Data Governance,governance,Governance & Control AI,NLP,Policy Document Classification,Classifies and organizes governance policy documents,"Risk, Audit, Compliance",mandatory,All AI outputs + metadata,47 policy documents auto-classified; 3 flagged as outdated.,D_Data_Governance_and_Platform/16_Data_Governance_and_Quality/data/UC-16-04,missing
UC-16-05,Data Governance,governance,Governance & Control AI,RAG,Governance Evidence & Audit Copilot,Retrieves governance evidence for audit and regulator queries,"Risk, Audit, Compliance",mandatory,All AI outputs + metadata,"Model governance evidence package generated with lineage, approvals, and test results.",D_Data_Governance_and_Platform/16_Data_Governance_and_Quality/data/UC-16-05,missing
UC-18-01,Responsible AI,governance,Governance & Control AI,ML,AI Fairness & Explainability Monitoring,Monitors AI systems for fairness and provides explanations,"Risk, Audit, Compliance",mandatory,All AI outputs + metadata,Explainability report generated; top 5 features driving each decision documented.,D_Data_Governance_and_Platform/18_Responsible_AI_Governance/data/UC-18-01,missing
UC-21-01,IT Operations / AIOps,operational,Operational AI,ML,IT Incident Prediction,Predicts IT incidents before they impact services,"COO, IT Ops",medium,Operational metrics,Database server showing pre-failure pattern; proactive failover recommended.,E_Technology_IT_and_Resilience/21_IT_Operations_AIOps/data/UC-21-01,downloaded
UC-21-02,IT Operations / AIOps,operational,Operational AI,DL,Root Cause Analysis,Deep learning root cause analysis for IT incidents,"COO, IT Ops",medium,System telemetry,Root cause: memory leak in payment service v3.2.1; patch available.,E_Technology_IT_and_Resilience/21_IT_Operations_AIOps/data/UC-21-02,missing
UC-21-03,IT Operations / AIOps,analytic,Analytic AI,NLP,Log Analytics,NLP-based log analysis for pattern detection,"Analytics, IT Ops",medium,System telemetry,Anomalous log pattern detected across 3 services; correlated with deployment.,E_Technology_IT_and_Resilience/21_IT_Operations_AIOps/data/UC-21-03,downloaded
UC-21-04,IT Operations / AIOps,transactional,Transactional / Assistive AI,RAG,IT Ops Assistant & Runbooks,Assists IT operators with runbook procedures,"Frontline, IT Ops",highest,Live context + knowledge,"For this alert type, follow runbook RB-2341 step 4.",E_Technology_IT_and_Resilience/21_IT_Operations_AIOps/data/UC-21-04,missing
UC-23-01,Cybersecurity,operational,Operational AI,ML,Threat Detection & Response,Detects cybersecurity threats from network telemetry,"IT Ops, CISO",medium,System telemetry,Lateral movement pattern detected from compromised endpoint; isolated.,E_Technology_IT_and_Resilience/23_Cybersecurity/data/UC-23-01,missing
UC-26-01,ESG / Climate Risk,analytic,Analytic AI,ML,ESG Scoring,Scores entities on ESG metrics for portfolio analysis,"Analytics, Risk",medium,Historical transactions,Company rated B+ on ESG; governance score below peer median.,F_ESG_Regulatory_and_Strategic/26_ESG_Reporting_and_Disclosure/data/UC-26-01,missing
UC-26-02,ESG / Climate Risk,business,Business AI,DL,Climate Stress Simulation,Simulates climate scenarios for strategic portfolio decisions,"Board, CEO, CFO, CRO",high,Aggregated master data,"Under NGFS scenario 2, portfolio losses reach $2.1B by 2040.",F_ESG_Regulatory_and_Strategic/26_ESG_Reporting_and_Disclosure/data/UC-26-02,missing
UC-26-03,ESG / Climate Risk,analytic,Analytic AI,NLP,ESG Disclosure Parsing,Extracts ESG metrics from sustainability reports,"Analytics, Risk",medium,Live context + knowledge,Extracted 34 SASB metrics from 12 portfolio company reports.,F_ESG_Regulatory_and_Strategic/26_ESG_Reporting_and_Disclosure/data/UC-26-03,missing
UC-26-04,ESG / Climate Risk,transactional,Transactional / Assistive AI,RAG,ESG Reporting & Audit Copilot,Assists in ESG disclosure drafting with standards grounding,"Frontline, Compliance",highest,Live context + knowledge,"Draft TCFD disclosure generated, citing GRI Standard 305.",F_ESG_Regulatory_and_Strategic/26_ESG_Reporting_and_Disclosure/data/UC-26-04,missing
UC-27-01,Climate Risk Management,analytic,Analytic AI,DL,Climate Risk Modeling,Models physical and transition climate risks,"Analytics, Risk",medium,Historical transactions,Physical risk assessment: 12% of mortgage portfolio in high-flood-risk zones.,F_ESG_Regulatory_and_Strategic/27_Climate_Risk_Management/data/UC-27-01,missing
UC-31-01,Strategy / Board Office,business,Business AI,ML,Portfolio Optimization,Evaluates strategic portfolio allocation options,"Board, CEO, CFO, Strategy",high,Aggregated master data,"Optimal allocation shifts 8% from commercial RE to green bonds, improving risk-adjusted return.",G_Executive_and_Enterprise_Decisioning/31_Strategy_and_Board_Office/data/UC-31-01,downloaded
UC-31-02,Strategy / Board Office,business,Business AI,DL,Scenario Simulation,Simulates macroeconomic scenarios for strategic planning,"Board, CEO, CFO, Strategy",high,Aggregated master data,"Under recession scenario, revenue drops 14% but capital ratio stays above 12%.",G_Executive_and_Enterprise_Decisioning/31_Strategy_and_Board_Office/data/UC-31-02,missing
UC-31-03,Strategy / Board Office,analytic,Analytic AI,NLP,Strategy Document Analysis,Analyzes annual reports and strategy documents,"Analytics, Strategy",medium,Live context + knowledge,Peer analysis: 4 of 6 competitors investing in embedded finance.,G_Executive_and_Enterprise_Decisioning/31_Strategy_and_Board_Office/data/UC-31-03,missing
UC-31-04,Strategy / Board Office,transactional,Transactional / Assistive AI,RAG,Board-Level Strategy Copilot,Assists board with investor materials and strategic Q&A,"Board, CEO, Strategy",highest,Live context + knowledge,"Revenue growth driven by 3 factors; see investor deck slide 14 and Q3 earnings call.",G_Executive_and_Enterprise_Decisioning/31_Strategy_and_Board_Office/data/UC-31-04,missing
UC-32-01,Treasury & Finance,analytic,Analytic AI,ML,Liquidity Forecasting,Forecasts liquidity positions using rate and flow data,"Analytics, CFO, Treasury",medium,Historical transactions,30-day liquidity forecast shows $240M surplus; recommend short-term deployment.,G_Executive_and_Enterprise_Decisioning/32_Treasury/data/UC-32-01,downloaded
UC-32-02,Treasury & Finance,business,Business AI,DL,Macro Stress Testing,Simulates macro stress scenarios for capital planning,"Board, CFO, CRO",high,Aggregated master data,"Under severe stress, Tier 1 ratio drops to 10.8%; still above minimum.",G_Executive_and_Enterprise_Decisioning/32_Treasury/data/UC-32-02,downloaded
UC-32-03,Treasury & Finance,analytic,Analytic AI,NLP,Financial Report Analysis,Parses financial filings for treasury insights,"Analytics, CFO",medium,Live context + knowledge,Fed minutes sentiment shifted hawkish; rate increase probability now 78%.,G_Executive_and_Enterprise_Decisioning/32_Treasury/data/UC-32-03,missing
UC-32-04,Treasury & Finance,transactional,Transactional / Assistive AI,RAG,Finance Policy & Reporting Copilot,Assists treasury with Basel/IFRS policy questions,"Frontline, CFO",highest,Live context + knowledge,"IFRS 9 requires this treatment for Stage 2 assets; see Standard para 5.5.3.",G_Executive_and_Enterprise_Decisioning/32_Treasury/data/UC-32-04,missing
UC-33-01,Finance FP&A,decision,Decision Intelligence AI,ML,Capital Allocation Optimization,Optimizes capital allocation under regulatory constraints,"CRO, CFO, Finance",high,Analytic outputs + policies,"Recommended allocation maximizes RORAC at 14.2%, within all regulatory limits.",G_Executive_and_Enterprise_Decisioning/33_Finance_FPA/data/UC-33-01,missing
UC-34-01,Enterprise Risk Management,analytic,Analytic AI,ML,Enterprise Risk Scoring,Scores and models enterprise-wide risk scenarios,"Analytics, CRO, Risk",medium,Historical transactions,Enterprise risk score elevated to Amber; driven by credit and market risk.,G_Executive_and_Enterprise_Decisioning/34_Enterprise_Risk_Management/data/UC-34-01,downloaded
UC-34-02,Enterprise Risk Management,analytic,Analytic AI,DL,Stress Testing / Monte Carlo,Runs Monte Carlo simulations for stress testing,"Analytics, CRO",medium,Historical transactions,"10,000 scenarios run; 99th percentile loss at $1.8B.",G_Executive_and_Enterprise_Decisioning/34_Enterprise_Risk_Management/data/UC-34-02,missing
UC-34-03,Enterprise Risk Management,analytic,Analytic AI,NLP,Risk Report Summarization,Summarizes risk disclosures and reports,"Analytics, CRO, Risk",medium,Live context + knowledge,Quarterly risk report summarized; 3 new emerging risks identified.,G_Executive_and_Enterprise_Decisioning/34_Enterprise_Risk_Management/data/UC-34-03,missing
UC-34-04,Enterprise Risk Management,transactional,Transactional / Assistive AI,RAG,Risk Policy Q&A Assistant,Answers risk policy questions with regulatory grounding,"Frontline, Risk",highest,Live context + knowledge,"Basel III requires 8% minimum; current ratio is 12.4%. See BCBS para 128.",G_Executive_and_Enterprise_Decisioning/34_Enterprise_Risk_Management/data/UC-34-04,missing
UC-35-01,Transformation Office,business,Business AI,ML,Transformation Portfolio Optimization,Prioritizes transformation initiatives by value and risk,"Board, CEO, CTO",high,Aggregated master data,"Initiative A delivers highest NPV at lowest risk; recommend priority 1.",G_Executive_and_Enterprise_Decisioning/35_Transformation_Office/data,missing
